product,sale_date,category,quantity,total_price,total_profit,payment_type,customer_id,location,gender,age_band,year,quarter,page
White Tie and Shirt Set,2025-01-01,Men — Shirts,5,175.0,66.5,Credit Card,7097,Dublin,Female,Range 25-34,2025,1,1
Floral Embroidered Kaftan,2025-01-01,Children — Girls Clothing,1,32.0,16.32,Debit Card,10753,Laois,F,Group 35—44,2025,1,1
Black Loose Fit Jeans,2025-01-02,Men — Jeans,1,29.0,11.6,Credit Card,17356,Mayo,Male,Category 55—64,2025,1,1
Dark Wash Straight Fit Jeans,2025-01-02,Men — Jeans,1,33.0,13.2,Credit Card,9750,Louth,Male,Range 35-44,2025,1,1
Rose Print Prom Dress,2025-01-02,Children — Girls Clothing,1,37.0,18.87,Credit Card,12591,Dublin,Female,Group 35-44,2025,1,1
Orange/Navy Shorts Three Pack,2025-01-02,Children — Girls Clothing,2,33.0,16.83,Credit Card,7822,Kerry,Female,Group 45-54,2025,1,1
Dark Wash Straight Fit Jeans,2025-01-03,Men —  Jeans,-1,33.0,13.2,Debit Card,18791,Dublin,Male,Range 25-34,2025,1,1
Dawson Trolley,2025-01-03,Homeware — Design,1,57.0,22.8,Credit Card,12619,Kildare,Female,Range 18-24,2025,1,1
Light Blue Ditsy Slub Dress,2025-01-03,Women — Dresses,1,20.25,9.0,Credit Card,17834,Laois,Male,Category 35-44,2025,1,1
Black Signature Point Court Shoes,2025-01-03,Men — Shoes,2,88.0,39.6,Debit Card,1331,Dublin,Female,Range 25-34,2025,1,1
Navy Linen Blend Dress,2025-01-03,Women — Dresses,1,30.0,15.0,Credit Card,17762,Dublin,Female,Range 18-24,2025,1,1
Mid Blue Straight Fit Jeans,2025-01-03,Men — Jeans,1,38.0,15.2,CC,7124,Meath,Female,Range 18-24,2025,1,1
Blue Stripe Snuggle Fit Pyjamas,2025-01-04,Children — Boys Clothing,4,74.0,37.74,Debit Card,3006,Dublin,Female,Category 25-34,2025,1,1
White Short Sleeve Oxford Shirt,2025-01-04,Men — Shirts,1,53.0,20.14,Debit Card,3091,Dublin,F,Group 35-44,2025,1,1
White Short Sleeve Bird Print Shirt,2025-01-04,Men — Shirts,1,29.0,11.02,Debit Card,5995,Sligo,Male,Category 25-34,2025,1,1
Lattice Runner,2025-01-05,Homeware  — Design,2,172.0,68.8,Credit Card,5968,Dublin,Male,Category 35-44,2025,1,1
Pink Slim Fit Double Cuff Shirt,2025-01-05,Men — Shirts,1,29.0,11.02,Debit Card,10059,Carlow,F,25–34,2025,1,1
Cydney Plaid Shirt,2025-01-05,Women —  Tops,1,51.3,28.5,Credit Card,9975,Dublin,Prefer not to say,Category 25-34,2025,1,1
Mola Headlamp,2025-01-06,Homeware — Design,2,77.4,25.8,Credit Card,4072,Dublin,Female,18-24,2025,1,1
Black Single Cuff Shirt,2025-01-06,Men — Shirts,3,126.0,47.88,Debit Card,2819,Dublin,Male,Range 55-64,2025,1,1
Dark Wash Straight Fit Jeans,2025-01-06,Men — Jeans,1,33.0,13.2,Credit Card,11694,Louth,Female,Category 25-34,2025,1,1
White Short Sleeve Oxford Shirt,2025-01-06,Men —  Shirts,-1,53.0,20.14,Debit Card,3766,Donegal,Female,35–44,2025,1,1
